Device_ID,Device_Name,Session,Feature,N_Item_Observations,N_Participants,Converged,Optimizer,Random_Task_Slope_Variance,Warnings,Error
1,ASUS_FX63VD_laptop,session_1,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1197,51,True,lbfgs,0.017123808326692268,,
1,ASUS_FX63VD_laptop,session_1,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1197,51,True,lbfgs,0.00016503708642841262,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1197,51,True,lbfgs,0.027044458468885167,,
1,ASUS_FX63VD_laptop,session_1,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,1197,51,True,powell,0.007430647373055492,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 15.430697 | Gradient optimization failed, |grad| = 1.225890 | The MLE may be on the boundary of the parameter space.",
1,ASUS_FX63VD_laptop,session_1,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,1197,51,True,lbfgs,0.01876210851858482,,
1,ASUS_FX63VD_laptop,session_1,F1amplitudeLogRelF0_sma3nz_amean,1197,51,True,lbfgs,0.09317208214858688,,
1,ASUS_FX63VD_laptop,session_1,F2amplitudeLogRelF0_sma3nz_amean,1197,51,True,lbfgs,0.07299262137554319,,
1,ASUS_FX63VD_laptop,session_1,F3amplitudeLogRelF0_sma3nz_amean,1197,51,True,lbfgs,0.09211523526962051,,
1,ASUS_FX63VD_laptop,session_1,F3amplitudeLogRelF0_sma3nz_stddevNorm,1197,51,True,lbfgs,0.0004241902418494382,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,Gap_Before,1204,51,True,lbfgs,0.0013631270351243346,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,HNRdBACF_sma3nz_amean,1197,51,True,lbfgs,0.0003637945880946715,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,MeanUnvoicedSegmentLength,1197,51,True,lbfgs,0.3826031684615213,,
1,ASUS_FX63VD_laptop,session_1,StddevVoicedSegmentLengthSec,1197,51,True,lbfgs,0.129833770233163,,
1,ASUS_FX63VD_laptop,session_1,alphaRatioUV_sma3nz_amean,1197,51,True,lbfgs,0.09121109032503548,,
1,ASUS_FX63VD_laptop,session_1,hammarbergIndexUV_sma3nz_amean,1197,51,True,lbfgs,0.04310205559630482,,
1,ASUS_FX63VD_laptop,session_1,hammarbergIndexV_sma3nz_stddevNorm,1197,51,True,lbfgs,0.18555189025438174,The Hessian matrix at the estimated parameter values is not positive definite.,
1,ASUS_FX63VD_laptop,session_1,jitterLocal_sma3nz_amean,1197,51,True,lbfgs,0.0012557353968288454,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,loudness_sma3_pctlrange0-2,1197,51,True,lbfgs,0.08612785504842162,,
1,ASUS_FX63VD_laptop,session_1,loudness_sma3_percentile20.0,1197,51,True,lbfgs,0.08997036855878031,,
1,ASUS_FX63VD_laptop,session_1,loudness_sma3_stddevNorm,1197,51,True,lbfgs,0.14246552670196266,,
1,ASUS_FX63VD_laptop,session_1,mfcc1V_sma3nz_amean,1197,51,True,lbfgs,0.000340343173260712,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,mfcc1V_sma3nz_stddevNorm,1197,51,True,lbfgs,0.09779717381202581,,
1,ASUS_FX63VD_laptop,session_1,mfcc1_sma3_amean,1197,51,True,lbfgs,0.07534106566490804,,
1,ASUS_FX63VD_laptop,session_1,mfcc1_sma3_stddevNorm,1197,51,True,lbfgs,0.190635679887222,,
1,ASUS_FX63VD_laptop,session_1,shimmerLocaldB_sma3nz_amean,1197,51,True,lbfgs,0.013226418187606857,,
1,ASUS_FX63VD_laptop,session_1,slopeUV0-500_sma3nz_amean,1197,51,True,cg,0.05639626583907865,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 12.458649",
1,ASUS_FX63VD_laptop,session_1,slopeUV500-1500_sma3nz_amean,1197,51,True,lbfgs,0.0663925476716988,,
1,ASUS_FX63VD_laptop,session_1,slopeV0-500_sma3nz_amean,1197,51,True,lbfgs,0.005903473406455536,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,spectralFluxUV_sma3nz_amean,1197,51,True,lbfgs,0.008674755579008965,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_1,spectralFluxV_sma3nz_amean,1197,51,True,lbfgs,0.18729114670033428,,
1,ASUS_FX63VD_laptop,session_1,spectralFluxV_sma3nz_stddevNorm,1197,51,True,lbfgs,0.0109969942033662,,
1,ASUS_FX63VD_laptop,session_1,spectralFlux_sma3_stddevNorm,1197,51,True,lbfgs,0.008315746239590072,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_2,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,1197,51,True,powell,0.0002334263304008114,"Maximum Likelihood optimization failed to converge. Check mle_retvals | MixedLM optimization failed, trying a different optimizer may help. | Gradient optimization failed, |grad| = 13.381787 | Gradient optimization failed, |grad| = 0.282725 | The MLE may be on the boundary of the parameter space.",
1,ASUS_FX63VD_laptop,session_2,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,1197,51,True,lbfgs,0.00022672186890245564,The MLE may be on the boundary of the parameter space.,
1,ASUS_FX63VD_laptop,session_2,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,1197,51,True,lbfgs,0.049088737928743915,,
